id,legislation,question,datetime,description
100,MOTION,On Approving the Journal,9-May-1990,2:22 PM,
101,MOTION,ON MOTION TO PROCEED IN ORDER,9-May-1990,3:37 PM,
102,H R 3,MOTION TO INSTRUCT CONFEREES,9-May-1990,4:18 PM,CHILDHOOD EDUCATION AND DEVELOPMENT ACT OF 1989
103,H R 2364,On Agreeing to the Conference Report,9-May-1990,5:53 PM,AMTRAK REAUTHORIZATION AND IMPROVEMENT ACT OF 1989
104,H RES 388,On Agreeing to the Resolution,9-May-1990,7:22 PM,PROVIDING FOR THE CONSIDERATION OF H.R. 770; FAMILY AND MEDICAL LEAVE ACT OF 1989
105,H R 770,On Agreeing to the Amendment,10-May-1990,12:36 PM,
106,H R 770,On Motion to Recommit with Instructions,10-May-1990,1:07 PM,FAMILY AND MEDICAL LEAVE ACT OF 1989
107,H R 770,On Passage,10-May-1990,1:25 PM,FAMILY AND MEDICAL LEAVE ACT OF 1989
108,H RES 381,SUSPEND THE RULES AND AGREE,15-May-1990,3:04 PM,RELATING TO HUMAN RIGHTS ABUSES BY THE GOVERNMENT OF CUBA
109,MOTION,On Approving the Journal,16-May-1990,10:22 AM,
110,H RES 392,On Agreeing to the Resolution,16-May-1990,11:44 AM,PROVIDING FOR THE CONSIDERATION OF H.R. 4151; HUMAN SERVICES REAUTHORIZATION ACT OF 1990
111,H R 4151,On Passage,16-May-1990,1:32 PM,HUMAN SERVICES REAUTHORIZATION ACT OF 1990
112,MOTION,On Approving the Journal,17-May-1990,10:23 AM,
113,H RES 394,On Ordering the Previous Question,17-May-1990,12:43 PM,PROVIDING FOR THE CONSIDERATION OF H.R. 2273; AMERICANS WITH DISABILITIES ACT OF 1990
114,H RES 394,On Agreeing to the Resolution,17-May-1990,1:01 PM,PROVIDING FOR THE CONSIDERATION OF H.R. 2273; AMERICANS WITH DISABILITIES ACT OF 1990
115,QUORUM 115,Call of the House,17-May-1990,3:54 PM,
116,H R 2273,On Agreeing to the Amendment,17-May-1990,4:02 PM,
117,H R 2273,On Agreeing to the Amendment,17-May-1990,5:23 PM,
118,H R 2273,On Agreeing to the Amendment,17-May-1990,6:48 PM,
119,H R 2273,On Agreeing to the Amendment,22-May-1990,11:31 AM,
120,H R 2273,On Agreeing to the Amendment,22-May-1990,12:37 PM,
121,H R 2273,On Agreeing to the Amendment,22-May-1990,2:12 PM,
122,H R 2273,On Motion to Recommit with Instructions,22-May-1990,2:53 PM,AMERICANS WITH DISABILITIES ACT OF 1990
123,H R 2273,On Passage,22-May-1990,3:00 PM,AMERICANS WITH DISABILITIES ACT OF 1990
124,S 286,SUSPEND RULES AND PASSAS AMENDED,22-May-1990,3:25 PM,PETROGLYPH NATIONAL MONUMENT ESTABLISHMENT ACT OF 1989
125,H RES 395,On Agreeing to the Resolution,22-May-1990,4:10 PM,"PROVIDING FOR CONSIDERATION OF H.R. 4636, SUPPLEMENTAL ASSISTANCE FOR EMERGING DEMOCRACIES ACT OF 1990."
126,H R 4636,On Agreeing to the Amendment,22-May-1990,7:24 PM,
127,H R 4636,On Agreeing to the Amendment,22-May-1990,8:58 PM,
128,H R 4636,On Passage,22-May-1990,9:20 PM,SUPPLEMENTAL ASSISTANCE FOR EMERGING DEMOCRACIES ACT OF 1990
129,H RES 399,On Ordering the Previous Question,23-May-1990,11:41 AM,"PROVIDING FOR THE FURTHER CONSIDERATION OF H.R. 3030, CLEAN AIR ACT AMENDMENTS OF 1990"
130,H RES 399,On Agreeing to the Resolution,23-May-1990,11:59 AM,"PROVIDING FOR THE FURTHER CONSIDERATION OF H.R. 3030, CLEAN AIR ACT AMENDMENTS OF 1990"
131,H R 3030,ON AGREEING TO THE AMENDMENTS,23-May-1990,2:39 PM,
132,H R 3030,On Agreeing to the Amendment,23-May-1990,4:17 PM,
133,H R 3030,On Agreeing to the Amendment,23-May-1990,5:10 PM,
134,H R 3030,On Agreeing to the Amendment,23-May-1990,6:42 PM,
135,H R 3030,On Agreeing to the Amendment,23-May-1990,8:13 PM,
136,H R 3030,On Agreeing to the Amendment,23-May-1990,9:20 PM,
137,H R 3030,On Passage,23-May-1990,9:48 PM,CLEAN AIR ACT AMENDMENTS OF 1990
138,H R 4404,On Agreeing to the Conference Report,24-May-1990,11:52 AM,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATION, 1990"
139,H R 4404,RECEDE FROM DISAGREEMENT TO S ADT.#12,24-May-1990,1:05 PM,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATION, 1990"
140,H R 4404,RECEDE FROM DISAGREEMENT TO S. ADT. #22,24-May-1990,1:58 PM,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATION, 1990"
141,H R 4404,RECEDE FROM DISAGREEMENT TO S ADT #24,24-May-1990,2:50 PM,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATION, 1990"
142,H R 4404,RECEDE AND CONCUR WITHADT IN S ADT #81,24-May-1990,4:42 PM,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATION, 1990"
143,H R 4404,RECEDE FROM DISAGREEMENT TO S. ADT. #84,24-May-1990,5:21 PM,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATION, 1990"
144,H R 4404,RECEDE AND CONCUR WITHADT. IN S. ADT. #124,24-May-1990,6:55 PM,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATION, 1990"
145,H R 4404,RECEDE FROM DISAGREEMENT TO S ADT #167,24-May-1990,7:54 PM,"DIRE EMERGENCY SUPPLEMENTAL, 1990"
146,H R 4404,RECEDE AND CONCUR IN SADT #171 WITH ADT,24-May-1990,9:08 PM,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATION, 1990"
147,MOTION,ON APPROVING THE JOURNAL,6-Jun-1990,10:23 AM,
148,H R 4653,On Agreeing to the Amendment,6-Jun-1990,1:07 PM,
149,H R 4653,ON AGREEING TO THE AMENDMENT,6-Jun-1990,2:10 PM,
150,H R 4653,On Agreeing to the Amendment,6-Jun-1990,2:42 PM,
151,H R 4653,On Agreeing to the Amendment,6-Jun-1990,3:17 PM,
152,H R 4653,On Agreeing to the Amendment,6-Jun-1990,3:50 PM,
153,H R 4653,On Agreeing to the Amendment,6-Jun-1990,5:21 PM,
154,H R 4653,On Agreeing to the Amendment,6-Jun-1990,6:48 PM,
155,H R 4653,On Agreeing to the Amendment,6-Jun-1990,7:15 PM,
156,H R 4653,On Agreeing to the Amendment,6-Jun-1990,7:55 PM,
157,H R 4653,On Agreeing to the Amendment,6-Jun-1990,8:23 PM,
158,H R 4653,On Agreeing to the Amendment,6-Jun-1990,8:58 PM,
159,H R 4653,On Motion to Recommit with Instructions,6-Jun-1990,10:43 PM,EXPORT FACILITATION ACT OF 1990
160,H R 4653,On Passage,6-Jun-1990,10:50 PM,EXPORT FACILITATION ACT OF 1990
161,MOTION,On Approving the Journal,7-Jun-1990,10:23 AM,
162,H R 2364,ON PRESIDENTIAL VETO,7-Jun-1990,12:47 PM,AMTRAK REAUTHORIZATION AND IMPROVEMENT ACT OF 1989
163,H R 20,SUSPEND THE RULES AND AGREE TO SENATE AMENDMENT,12-Jun-1990,4:40 PM,FEDERAL EMPLOYEES POLITICAL ACTIVITIES ACT OF 1989
164,H RES 408,On Agreeing to the Resolution,13-Jun-1990,11:10 AM,PROVIDING FOR THE CONSIDERATION OF H.R. 4785; AIDS PREVENTION ACT OF 1990
165,H RES 409,On Agreeing to the Resolution,13-Jun-1990,12:27 PM,PROVIDING FOR THE CONSIDERATION OF H.R. 2567; RECLAMATION PROJECTS AUTHORIZATION AND ADJUSTMENT ACT OF 1989
166,H R 4785,On Agreeing to the Amendment,13-Jun-1990,3:32 PM,
167,H R 4785,On Agreeing to the Amendment,13-Jun-1990,3:50 PM,
168,H R 4785,On Passage,13-Jun-1990,4:11 PM,AIDS PREVENTION ACT OF 1990
169,H R 2567,On Agreeing to the Amendment,14-Jun-1990,2:12 PM,
170,H R 2567,ON AGREEING TO THE AMENDMENT,14-Jun-1990,2:41 PM,
171,H R 2567,On Agreeing to the Amendment,14-Jun-1990,4:38 PM,
172,MOTION,On Approving the Journal,19-Jun-1990,12:27 PM,
173,H RES 413,On Ordering the Previous Question,19-Jun-1990,2:19 PM,WAIVING CERTAIN POINTS OF ORDER AGAINST H.R. 5019; ENERGY AND WATER DEVELOPMENT APPROPRIATION FOR 1991
174,H RES 413,On Agreeing to the Resolution,19-Jun-1990,2:38 PM,WAIVING CERTAIN POINTS OF ORDER AGAINST H.R. 5019; ENERGY AND WATER DEVELOPMENT APPROPRIATION FOR 1991
175,H R 5019,On Agreeing to the Amendment,19-Jun-1990,4:58 PM,
176,H R 5019,On Agreeing to the Amendment,19-Jun-1990,5:24 PM,
177,H R 5019,On Agreeing to the Amendment,19-Jun-1990,6:41 PM,
178,H R 5019,On Agreeing to the Amendment,19-Jun-1990,7:17 PM,
179,H R 5019,On Agreeing to the Amendment,19-Jun-1990,7:42 PM,
180,H R 5019,On Agreeing to the Amendment,19-Jun-1990,8:16 PM,
181,H R 5019,On Passage,19-Jun-1990,8:36 PM,"ENERGY AND WATER DEVELOPMENT APPROPRIATION, FY 1991"
182,H R 3859,On Motion to Suspend the Rules and Pass,19-Jun-1990,8:53 PM,WASHINGTON CENTERS FOR INTERNSHIPS AND ACADEMIC SEMINARS
183,MOTION,On Approving the Journal,20-Jun-1990,10:23 AM,
184,H R 20,ON PRESIDENTIAL VETO,20-Jun-1990,12:37 PM,FEDERAL EMPLOYEES POLITICAL ACTIVITIES ACT OF 1989
185,H R 3,MOTION TO INSTRUCT CONFEREES,20-Jun-1990,2:06 PM,CHILDHOOD EDUCATION AND DEVELOPMENT ACT OF 1989
186,H R 3,MOTION TO INSTRUCT CONFEREES,20-Jun-1990,2:53 PM,CHILDHOOD EDUCATION AND DEVELOPMENT ACT OF 1989
187,H R 5021,On Agreeing to the Amendment,20-Jun-1990,5:07 PM,
188,H R 5021,On Agreeing to the Amendment,20-Jun-1990,6:16 PM,
189,MOTION,On Approving the Journal,21-Jun-1990,10:24 AM,
190,H RES 417,On Ordering the Previous Question,21-Jun-1990,12:03 PM,PROVIDING FOR THE CONSIDERATION OF H.J. RES 350; CONSTITUTIONAL AMENDMENT TO BAN PHYSICAL DESECRATION OF THE FLAG OF THE UNITED STATES
191,H RES 417,On Agreeing to the Resolution,21-Jun-1990,12:20 PM,PROVIDING FOR THE CONSIDERATION OF H.J. RES 350; CONSTITUTIONAL AMENDMENT TO BAN PHYSICAL DESECRATION OF THE FLAG OF THE UNITED STATES
192,H J RES 350,On Motion to Suspend the Rules and Pass,21-Jun-1990,6:52 PM,CONSTITUTIONAL AMENDMENT TO BAN PHYSICAL DESECRATION OF THE FLAG OF THE UNITED STATES
193,H R 5091,On Motion to Suspend the Rules and Pass,21-Jun-1990,8:02 PM,FLAG PROTECTION ACT OF 1990
194,QUORUM 194,Call of the House,26-Jun-1990,1:45 PM,
195,H R 5021,On Agreeing to the Amendment,26-Jun-1990,1:52 PM,
196,H R 5021,On Passage,26-Jun-1990,2:42 PM,"COMMERCE, JUSTICE, STATE, THE JUDICIARY AND RELATED AGENCIES APPROPRIATION, FY 1991"
197,S 280,On Agreeing to the Amendment,26-Jun-1990,5:15 PM,
198,S 280,On Agreeing to the Amendment,26-Jun-1990,5:52 PM,
199,S 280,On Passage,26-Jun-1990,6:12 PM,NIOBRARA RIVER SCENIC RIVER DESIGNATION ACT OF 1989
200,H RES 425,On Agreeing to the Resolution,27-Jun-1990,11:35 AM,"WAIVING CERTAIN POINTS OF ORDER DURING THE CONSIDERATION OF H.R. 5114, FOREIGN ASSISTANCE AND RELATED PROGRAMS APPROPRIATION, 1991"
201,H R 5114,On Agreeing to the Amendment,27-Jun-1990,3:15 PM,
202,H R 5114,On Agreeing to the Amendment,27-Jun-1990,3:33 PM,
203,H R 5114,On Agreeing to the Amendment,27-Jun-1990,5:00 PM,
204,H R 5114,On Passage,27-Jun-1990,5:58 PM,"FOREIGN ASSISTANCE AND RELATED PROGRAMS APPROPRIATION, 1991"
205,H RES 426,On Agreeing to the Resolution,28-Jun-1990,11:20 AM,"WAIVING CERTAIN POINTS OF ORDER DURING CONSIDERATION OF H.R. 5158; VETERANS AFFAIRS, HOUSING, AND URBAN DEVELOPMENT INDEPENDENT AGENCIES APPROPRIATION FOR 1991"
206,QUORUM 206,Call of the House,28-Jun-1990,2:15 PM,
207,H R 5158,On Agreeing to the Amendment,28-Jun-1990,2:23 PM,
208,H R 5158,On Agreeing to the Amendment,28-Jun-1990,2:50 PM,
209,H R 5158,On Agreeing to the Amendment,28-Jun-1990,3:24 PM,
210,H R 5158,On Passage,28-Jun-1990,3:51 PM,"VETERANS AFFAIRS, HOUSING AND URBAN DEVELOPMENT INDEPENDENT AGENCIES APPROPRIATION FOR 1991"
211,H R 4834,On Motion to Suspend the Rules and Pass,10-Jul-1990,3:40 PM,VISITOR CENTER FOR THE SALEM MARITIME NATIONAL HISTORIC SITE
212,S 666,On Motion to Suspend the Rules and Pass,10-Jul-1990,3:50 PM,TO ENROLL TWENTY INDIVIDUALS UNDER THE ALASKA NATIVE CLAIMS SETTLEMENT ACT
213,H R 988,On Motion to Suspend the Rules and Pass,10-Jul-1990,3:57 PM,CAMP W.G. WILLIAMS LAND EXCHANGE ACT OF 1989
214,H R 5064,On Motion to Suspend the Rules and Pass,10-Jul-1990,4:07 PM,DRUG ABUSE RESISTANCE EDUCATION (DARE) ACT OF 1990
215,QUORUM 215,Call of the House,11-Jul-1990,2:18 PM,
216,H R 4329,On Agreeing to the Amendment,11-Jul-1990,2:37 PM,
217,H R 4329,ON AGREEING TO THE AMENDMENTS,11-Jul-1990,3:30 PM,
218,H R 4329,On Agreeing to the Amendment,11-Jul-1990,4:59 PM,
219,H R 4329,ON AGREEING TO THE AMENDMENTS,11-Jul-1990,5:50 PM,
220,H R 4329,On Motion to Recommit with Instructions,11-Jul-1990,6:14 PM,AMERICAN TECHNOLOGY PREEMINENCE ACT
221,H R 4329,On Passage,11-Jul-1990,6:20 PM,AMERICAN TECHNOLOGY PREEMINENCE ACT
222,H RES 430,On Agreeing to the Resolution,12-Jul-1990,1:37 PM,PROVIDING FOR THE CONSIDERATION OF H.R. 5115; TO IMPROVE EDUCATION IN THE UNITED STATES
223,H R 5229,On Agreeing to the Amendment,12-Jul-1990,3:46 PM,
224,H R 5229,On Agreeing to the Amendment,12-Jul-1990,4:41 PM,
225,H R 5229,On Passage,12-Jul-1990,5:01 PM,"TRANSPORTATION AND RELATED AGENCIES APPROPRIATION, 1991"
226,H RES 427,On Agreeing to the Resolution,12-Jul-1990,5:47 PM,WAIVING CERTAIN POINTS OF ORDER AGAINST CONFERENCE REPORT ON S. 933.
227,S 933,RECOMMIT CONFERENCE REPORT WITH INSTRUCTIONS,12-Jul-1990,7:19 PM,AMERICANS WITH DISABILITIES ACT
228,S 933,On Agreeing to the Conference Report,12-Jul-1990,7:27 PM,AMERICANS WITH DISABILITIES ACT
229,H R 5241,On Agreeing to the Amendment,13-Jul-1990,12:36 PM,
230,H R 5241,ON AGREEING TO THE AMENDMENT,13-Jul-1990,12:55 PM,
231,H R 5241,On Agreeing to the Amendment,13-Jul-1990,2:02 PM,
232,H R 5241,On Agreeing to the Amendment,13-Jul-1990,2:32 PM,
233,H R 5241,On Passage,13-Jul-1990,2:55 PM,"TREASURY, POSTAL SERVICE, AND GENERAL GOVERNMENT APPROPRIATION, 1991"
234,H R 4982,On Motion to Suspend the Rules and Pass,17-Jul-1990,10:38 AM,DWIGHT D. EISENHOWER MATHEMATICS AND SCIENCE EDUCATION AMENDMENTS ACT OF 1990
235,H RES 434,On Agreeing to the Resolution,17-Jul-1990,12:11 PM,PROVIDING FOR THE CONSIDERATION OF H.J. RES. 268; BALANCED BUDGET FOR THE U.S. GOVERNMENT
